State	StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	Collected.By	X	X.1	Species	Subphylum	Genus	Region
2	Alaska	yHKS557	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #207	#208	a	YHKS_#208	22	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS557	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
4	Alaska	yHKS565	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #207	#208	a	YHKS_#208	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS565	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
5	Alaska	yHKS632	Mrakia sp.	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #210	#211	a	YHKS_#211	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS632	Mrakia sp.	Basidiomycota	Mrakia	Arctic
6	Alaska	yHKS548	Curvibasidium cygneicollum	Curvibasidium	Basidiomycota	60.476499, -150.330873	60.476499	-150.330873	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	From same bag as #199	#198	a	YHKS_#198	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS548	Curvibasidium cygneicollum	Basidiomycota	Curvibasidium	Arctic
7	Alaska	yHKS554	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #206	#205	a	YHKS_#205	22	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS554	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
10	Alaska	yHKS555	Nakazawaea anatomiae/populi	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #205	#206	a	YHKS_#206	22	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS555	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
12	Alaska	yHKS549	Curvibasidium cygneicollum	Curvibasidium	Basidiomycota	60.476499, -150.330873	60.476499	-150.330873	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	From same bag as #198	#199	a	YHKS_#199	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS549	Curvibasidium cygneicollum	Basidiomycota	Curvibasidium	Arctic
16	Alaska	yHKS556	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #208	#207	a	YHKS_#207	22	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS556	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
17	Alaska	yHKS566	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #211	#210	a	YHKS_#210	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS566	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
19	Alaska	yHKS562	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #206	#205	a	YHKS_#205	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS562	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
20	Alaska	yHKS654	Nakazawaea populi	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #205	#206	a	YHKS_#206	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS654	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
21	Alaska	yHKS568	Candida sp.	Candida	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #211	#210	a	YHKS_#210	22	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS568	Candida sp.	Saccharomycotina	Candida	Arctic
22	Alaska	yHKB45	Candida sake	Candida	Ascomycota	60.4789127:-150.3230643	60.4789127	-150.3230643	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	Uncultured	8G	a	YHKB_8G	22	Engineer Lake, AK	NA	TRUE	yHKB45	Candida sake	Saccharomycotina	Candida	Arctic
23	Alaska	yHKS563	Nakazawaea anatomiae/populi	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #205	#206	a	YHKS_#206	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS563	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
25	Alaska	yHKS560	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	30	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS560	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	Arctic
26	Alaska	yHKS638	Mrakia sp.	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #210	#211	b	YHKS_#211	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS638	Mrakia sp.	Basidiomycota	Mrakia	Arctic
27	Alaska	yHKS567	Candida sake	Candida	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS567	Candida sake	Saccharomycotina	Candida	Arctic
29	Alaska	yHKS635	Mrakia gelida	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #208	#207	a	YHKS_#207	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS635	Mrakia gelida	Basidiomycota	Mrakia	Arctic
31	Alaska	yHKS564	Nakazawaea anatomiae/populi	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #208	#207	a	YHKS_#207	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS564	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
33	Alaska	yHKS629	Candida sake	Candida	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	10	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS629	Candida sake	Saccharomycotina	Candida	Arctic
38	Alaska	yHKS630	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #206	#205	a	YHKS_#205	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS630	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
39	Alaska	yHKS634	Candida sake	Candida	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	b	YHKS_#202	10	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS634	Candida sake	Saccharomycotina	Candida	Arctic
40	Alaska	yHKS636	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #207	#208	a	YHKS_#208	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS636	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
43	Arkansas	yHKB305	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	35.6745,-90.0998	35.6745	-90.0998	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT21	a	YHKB_RT21	30	Keiser, AR	Kelly Buh	TRUE	yHKB305	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	South
44	Arkansas	yHKB310	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	35.6745,-90.0998	35.6745	-90.0998	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	RT21	b	YHKB_RT21	30	Keiser, AR	Kelly Buh	TRUE	yHKB310	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	South
45	Arkansas	yHKB329	Meyerozyma caribbica	Meyerozyma	Ascomycota	35.6745,-90.0998	35.6745	-90.0998	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT21	a	YHKB_RT21	22	Keiser, AR	Kelly Buh	TRUE	yHKB329	Meyerozyma caribbica	Saccharomycotina	Meyerozyma	South
46	California	yHQL418	Saccharomyces paradoxus	Saccharomyces	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	a	YHQL_QL#27	22	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL418	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	West
47	California	yHQL416	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	a	YHQL_QL#27	30	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL416	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	West
48	California	yHQL321	Hanseniaspora vineae	Hanseniaspora	Ascomycota	37.626981,-119.635941	37.626981	-119.635941	Tree	Plant Matter	Needles	NA	NA	NA	NA	Pinus	Pinus lambertiana	Sugar Pine	Lichen	Lichen	QL#20	a	YHQL_QL#20	22	Yosemite Nat'l Park, CA, 37°37'37.1332N X 119°38'9.3862W	Bill Vagt	TRUE	yHQL321	Hanseniaspora vineae	Saccharomycotina	Hanseniaspora	West
50	California	yHQL496	Saccharomyces paradoxus	Saccharomyces	Ascomycota	37.626981,-119.635941	37.626981	-119.635941	Tree	Plant Matter	Needles	NA	NA	NA	NA	Pinus	Pinus lambertiana	Sugar Pine	Sarcodes sanguinea	Lichen	QL#20	c	YHQL_QL#20	10	Yosemite Nat'l Park, CA, 37°37'37.1332N X 119°38'9.3862W	Bill Vagt	TRUE	yHQL496	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	West
52	California	yHQL442	Saccharomyces paradoxus	Saccharomyces	Ascomycota	37.626981,-119.635941	37.626981	-119.635941	Tree	Plant Matter	Needles	NA	NA	NA	NA	Pinus	Pinus lambertiana	Sugar Pine	Sarcodes sanguinea	Lichen	QL#20	a	YHQL_QL#20	10	Yosemite Nat'l Park, CA, 37°37'37.1332N X 119°38'9.3862W	Bill Vagt	TRUE	yHQL442	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	West
55	California	yHQL438	Candida sp.	Candida	Ascomycota	41.158958,-122.305077	41.158958	-122.305077	Tree	Plant Matter	Needles	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	Moss	NA	QL#17	a	YHQL_QL#17	10	Pacific Crest Trail, CA, 41°9''32.25N X 122°18'18.276	Bill Vagt	TRUE	yHQL438	Candida sp.	Saccharomycotina	Candida	West
56	California	yHQL447	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	37.457021,-119.643303	37.457021	-119.643303	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus velutina	Black Oak	NA	NA	QL#21	d	YHQL_QL#21	10	Yosemite Nat'l Park, CA, 37°27'25.274N X 119°38'35.891W	Bill Vagt	TRUE	yHQL447	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	West
58	California	yHQL307	Nakazawaea holstii	Nakazawaea	Ascomycota	37.657021,-119.626228	37.657021	-119.626228	Tree	Fungus	Fungus	NA	NA	NA	NA	Pinus	Pinus contorta	Lodgepole Pine	Fungus	NA	QL#22	a	YHQL_QL#22	30	Yosemite Nat'l Park, CA 37°39'25.274N X 119°37'34.422W	Bill Vagt	TRUE	yHQL307	Nakazawaea holstii	Saccharomycotina	Nakazawaea	West
59	California	yHQL417	Lachancea kluyveri	Lachancea	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	b	YHQL_QL#27	30	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL417	Lachancea kluyveri	Saccharomycotina	Lachancea	West
60	California	yHQL440	Candida sake	Candida	Ascomycota	39.876949,-123.724678	39.876949	-123.724678	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus virginiana	Live Oak	NA	NA	QL#19	b	YHQL_QL#19	10	Rock creek campground, Standish-Hickey State Rec Area, CA 39°52'37.018N X 123°43'28.841W	Bill Vagt	TRUE	yHQL440	Candida sake	Saccharomycotina	Candida	West
61	California	yHQL302	Nakazawaea holstii	Nakazawaea	Ascomycota	41.158958,-122.305077	41.158958	-122.305077	Tree	Plant Matter	Needles	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	Moss	NA	QL#17	a	YHQL_QL#17	30	Pacific Crest Trail, CA, 41°9''32.25N X 122°18'18.276W	Bill Vagt	TRUE	yHQL302	Nakazawaea holstii	Saccharomycotina	Nakazawaea	West
63	California	yHQL527	Candida sp.	Candida	Ascomycota	41.158958,-122.305077	41.158958	-122.305077	Tree	Plant Matter	Needles	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	Moss	NA	QL#17	b	YHQL_QL#17	10	Pacific Crest Trail, CA, 41°9''32.25N X 122°18'18.276	Bill Vagt	TRUE	yHQL527	Candida sp.	Saccharomycotina	Candida	West
