State	StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	Collected.By	X	X.1	Species	Subphylum	Genus	Region
Alaska	yHKS554	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #206	#205	a	YHKS_#205	22	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS554	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
Alaska	yHQL470	Cephalosporium sp.	Cephalosporium	Ascomycota	58.417721, -134.545988	58.417721	-134.545988	Tree	Moss	Moss	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	tree moss	KS#302	a	YHQL_KS#302	10	Mendenhall glacier, AK	parents of Ryan Mority	TRUE	yHQL470	Cephalosporium sp.	Pezizomycotina	Cephalosporium	Arctic
Alaska	yHKS566	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #211	#210	a	YHKS_#210	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS566	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
Alaska	yHKS630	Nakazawaea anatomiae	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #206	#205	a	YHKS_#205	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS630	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
Alaska	yHKS564	Nakazawaea anatomiae/populi	Nakazawaea	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Alnus	Alnus sp.	Alder	NA	From same bag as #208	#207	a	YHKS_#207	30	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS564	Nakazawaea anatomiae/populi sp. complex	Saccharomycotina	Nakazawaea	Arctic
Alaska	yHQL546	Candida cretensis	Candida	Ascomycota	60.850069, -149.534257	60.850069	-149.534257	Plant	Moss	Moss	NA	NA	NA	NA	Tortula	Tortula ruralis	Twisted Moss	NA	NA	Ql#33	a	YHQL_Ql#33	22	Coeur d'Alene campground, Chugach National Forest, AK	Mel Langdon	TRUE	yHQL546	Teunomyces cretensis/kruisii complex	Saccharomycotina	Teunomyces	Arctic
Alaska	yHKS548	Curvibasidium cygneicollum	Curvibasidium	Basidiomycota	60.476499, -150.330873	60.476499	-150.330873	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	From same bag as #199	#198	a	YHKS_#198	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS548	Curvibasidium cygneicollum	Basidiomycota	Curvibasidium	Arctic
Alaska	yHQL553	Metschnikowia viticola	Metschnikowia	Ascomycota	60.850069, -149.534257	60.850069	-149.534257	Tree	Plant Matter	Twigs	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	NA	NA	QL#38	b	YHQL_QL#38	22	Coeur d'Alene campground, Chugach National Forest, AK	Mel Langdon	TRUE	yHQL553	Metschnikowia viticola	Saccharomycotina	Metschnikowia	Arctic
Alaska	yHKS626	Leotiomycetes sp.	Leotiomycetes	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	From same bag as #199	#198	a	YHKS_#198	10	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Jacob Barnes	TRUE	yHKS626	Leotiomycetes sp.	Pezizomycotina	Leotiomycetes	Arctic
Alaska	yHKS632	Mrakia sp.	Mrakia	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	From same bag as #210	#211	a	YHKS_#211	10	Nikiski, Alaska (Deer Creek)	Jacob Barnes	TRUE	yHKS632	Mrakia sp.	Basidiomycota	Mrakia	Arctic
