StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHRVM179	Zygowilliopsis californica	Zygowilliopsis	Ascomycota	42.866603, -88.336550	42.866603	-88.33655	Plant	Plant Matter	Flower	NA	NA	NA	NA	Taraxacum	Taraxacum sp.	Dandelion	NA	NA	6D4	a	YHRVM_6D4	30	Mukwonago, WI	Wisconsin	Ryan Moriarty	TRUE	yHRVM179	Zygowilliopsis californica	Saccharomycotina	Zygowilliopsis
yHRVM226	Zygowilliopsis californica	Zygowilliopsis	Ascomycota	42.866603, -88.336550	42.866603	-88.33655	Plant	Plant Matter	Flower	NA	NA	NA	NA	Taraxacum	Taraxacum sp.	Dandelion	NA	NA	6D1	b	YHRVM_6D1	10	Mukwonago, WI	Wisconsin	Ryan Moriarty	TRUE	yHRVM226	Zygowilliopsis californica	Saccharomycotina	Zygowilliopsis
yHRVM241	Zygowilliopsis californica	Zygowilliopsis	Ascomycota	42.866603, -88.336550	42.866603	-88.33655	Plant	Plant Matter	Flower	NA	NA	NA	NA	Taraxacum	Taraxacum sp.	Dandelion	NA	NA	6D4	a	YHRVM_6D4	22	Mukwonago, WI	Wisconsin	Ryan Moriarty	TRUE	yHRVM241	Zygowilliopsis californica	Saccharomycotina	Zygowilliopsis
yHAB169	Zygowilliopsis californica	Zygowilliopsis	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Thuja	Thuja occidentalis	White Cedar	NA	NA	3.5	a	YHAB_3.5	22	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB169	Zygowilliopsis californica	Saccharomycotina	Zygowilliopsis
yHKS639	Zygosaccharomyes florentinus	Zygosaccharomyes	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#248	a	YHKS_#248	22	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS639	Zygosaccharomyces florentinus	Saccharomycotina	Zygosaccharomyces
yHAB187	Zygosaccharomyces florentinus	Zygosaccharomyces	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.7	b	YHAB_3.7	22	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB187	Zygosaccharomyces florentinus	Saccharomycotina	Zygosaccharomyces
yHAB262	Zygosaccharomyces florentinus	Zygosaccharomyces	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	3.7	b	YHAB_3.7	10	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB262	Zygosaccharomyces florentinus	Saccharomycotina	Zygosaccharomyces
yHKS657	Zygoascus meyerae/hellenicus	Zygoascus	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Pinus	Pinus sp.	Pine	NA	NA	#249	a	YHKS_#249	30	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS657	Zygoascus meyerae/hellenicus	Saccharomycotina	Zygoascus
yHKS660	Zygoascus meyerae/hellenicus	Zygoascus	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Pinus	Pinus sp.	Pine	NA	NA	#249	d	YHKS_#249	30	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS660	Zygoascus meyerae/hellenicus	Saccharomycotina	Zygoascus
yHKS573	Yamadazyma mexicana	Yamadazyma	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	#221	a	YHKS_#221	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS573	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHKS640	Yamadazyma mexicana	Yamadazyma	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Pinus	Pinus sp.	Pine	NA	NA	#249	a	YHKS_#249	22	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS640	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHKS642	Yamadazyma mexicana	Yamadazyma	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Pinus	Pinus sp.	Pine	NA	NA	#249	c	YHKS_#249	22	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS642	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHKS697	Yamadazyma mexicana	Yamadazyma	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#232	a	YHKS_#232	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS697	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
