StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHKS550	Sydowia polyspora	Sydowia	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Tree	Plant Matter	Needles	NA	NA	NA	NA	Picea	Picea sp.	Spruce	NA	From same bag as #201	#200	a	YHKS_#200	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Alaska	Jacob Barnes	TRUE	yHKS550	Sydowia polyspora	Pezizomycotina	Sydowia
yHKS551	Sydowia polyspora	Sydowia	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Tree	Plant Matter	Bark	NA	NA	NA	NA	Picea	Picea sp.	Spruce	NA	From same bag as #200	#201	a	YHKS_#201	22	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Alaska	Jacob Barnes	TRUE	yHKS551	Sydowia polyspora	Pezizomycotina	Sydowia
yHKS552	Sydowia polyspora	Sydowia	Ascomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Needles	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	#203	a	YHKS_#203	22	Nikiski, Alaska (Deer Creek)	Alaska	Jacob Barnes	TRUE	yHKS552	Sydowia polyspora	Pezizomycotina	Sydowia
yHQL327	Sydowia polyspora	Sydowia	Ascomycota	45.386820, -110.681776	45.38682	-110.681776	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	QL#8	a	YHQL_QL#8	22	Pray, MT	Montana	Erik Jessen and Erica Macke	TRUE	yHQL327	Sydowia polyspora	Pezizomycotina	Sydowia
yHQL547	Scleroconidioma sphagnicola	Scleroconidioma	Ascomycota	60.850069, -149.534257	60.850069	-149.534257	Lichen	Lichen	Lichen	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	QL#34	a	YHQL_QL#34	22	Coeur d'Alene campground, Chugach National Forest, AK	Alaska	Mel Langdon	TRUE	yHQL547	Scleroconidioma sphagnicola	Pezizomycotina	Scleroconidioma
yHQL551	Scleroconidioma sphagnicola	Scleroconidioma	Ascomycota	60.850069, -149.534257	60.850069	-149.534257	Lichen	Lichen	Lichen	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	QL#36	a	YHQL_QL#36	22	Coeur d'Alene campground, Chugach National Forest, AK	Alaska	Mel Langdon	TRUE	yHQL551	Scleroconidioma sphagnicola	Pezizomycotina	Scleroconidioma
YHMH66	Pichia sp.	Pichia	Ascomycota	36.168237, -75.756593	36.168237	-75.756593	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	20	b	YHMH_20	22	Duck North Carolina	North Carolina	Laura Beck	TRUE	YHMH66	Pichia galeiformis	Saccharomycotina	Pichia
yHKS757	Pichia scaptomyzae	Pichia	Ascomycota	36.023225, -80.303844	36.023225	-80.303844	Tree	Soil	Sand	NA	NA	NA	NA	Quercus	Quercus prinus	Chestnut Oak	NA	NA	#261	b	YHKS_#261	22	2647 Evans Rd, Winston-Salem, NC (27127)	North Carolina	Leslie Shown	TRUE	yHKS757	Pichia scaptomyzae	Saccharomycotina	Pichia
yHRVM277	Pichia scaptomyzae	Pichia	Ascomycota	34.951681, -82.946213	34.951681	-82.946213	Soil	Sand	Sand	NA	NA	NA	NA	NA	NA	NA	NA	NA	11D4-CS	b	YHRVM_11D4-CS	30	Devil's Fork State Park, SC	South Carolina	CTH parents	TRUE	yHRVM277	Pichia scaptomyzae	Saccharomycotina	Pichia
yHQL10	Pichia onychis	Pichia	Ascomycota	46.122696, -123.927882	46.122696	-123.927882	Plant	Soil	Soil	NA	NA	NA	NA	Festuca	Festuca sp.	Festuca sp.	NA	NA	OR 15.1	a	YHQL_OR 15.1	30	Camp Rilea, OR	Oregon	Quinn Langdon	TRUE	yHQL10	Wickerhamomyces onychis	Saccharomycotina	Wickerhamomyces
